incident_no|incident_code|date_reported|status_code|occurred|location_code|address|stolen_value|lost_value|narrative
12002542|LITTERING|7/1/2012 1:52|Cleared by Arrest|Date: 07/01/2012 01:52|Andersen Hall|200 Centennial Mall North|0.00|0.00|Non-student cited/released for Littering after he was observed urinating in the parking lot.
12002545|LARCENY - STOLEN BIKE|7/1/2012 9:48|Cleared by Exception|between: 06/28/2012 18:30 and 06/29/2012 18:45|2224 U Street|2224 U St.|59.00|10.00|UNL student came to UNLPD to report their bike had been stolen from the bike racks on the east side of 2244 U St.
12002547|LARCENY - FROM MOTOR VEHICLE|7/1/2012 17:19|Inactive|between: 06/30/2012 17:00 and 07/01/2012 19:00|2222 Vine Street|2222 Vine Street|19.20|0.00|Unkown persons siphoning gas from vehicle at 2222 Vine St Apartments, $19 loss.
12002548|LARCENY - STOLEN BIKE|7/2/2012 0:45|Cleared by Arrest|Date: 07/02/2012 00:45|Memorial Stadium|740 Stadium Dr.|0.00|0.00|Two juveniles were contacted for stealing a bicycle from a bike rack near north stadium.  They were referred for charges and turned over to parents.
12002549|ALCOHOL - DWI|7/2/2012 2:02|Cleared by Arrest|Date: 07/02/2012 02:02||N 17TH ST & VINE ST|0.00|0.00|Non UNL affiliated party was cited for speeding and DUI. (.104 BAC.)
12002557|TRAFFIC - SUSPENDED DRIVER|7/2/2012 16:12|Cleared by Arrest|Date: 07/02/2012 16:12||N 16TH ST & Q ST|0.00|0.00|Person stopped for expired registration, and found to be suspended.
12002559|ALCOHOL - DRUNK|7/3/2012 2:26|Cleared by Exception|Date: 07/03/2012 02:26||N 18TH ST & R ST|0.00|0.00|UNL student was contacted at 18th and R streets and was unable to care for himself due to his intoxication level. Transported to detox, refused PBT.
12002562|VANDALISM - BY GRAFFITI|7/3/2012 7:03|Inactive|between: 06/26/2012 17:00 and 07/03/2012 07:03||N 38TH ST & HUNTINGTON AVE|0.00|50.00|Graffiti on sidewalk.  No suspects.
12002566|LARCENY - FROM BUILDING|7/3/2012 13:16|Inactive|between: 07/03/2012 13:05 and 07/03/2012 13:15|Union-City|1400 R St|1.00|0.00|Person took change from a change at the Caffina Cafe in the city union, $1 loss.
12002567|DISTURBANCE - OTHER|7/3/2012 13:19|Inactive|Date: 07/03/2012 13:19|Love Library South|1248 R|0.00|0.00|Disturbance between staff and non-student. Investigation ongoing.
12002574|ALCOHOL - DWI|7/4/2012 0:47|Cleared by Arrest|Date: 07/04/2012 00:47||N 10TH ST & T ST|0.00|0.00|Ofc conducted a traffic stop near Stadium Drive and T Street.  Driver was cited for DWI and wrong way on a one way. Driver was released to Detox staff. BAC 0.188
12002576|VANDALISM - OTHER|7/4/2012 9:54|Inactive|:|Innovation Campus|1800 State Fair Park Drive|0.00|25.00|Vandalism to window.  No suspects.
12002580|ASSAULT - DOMESTIC|7/5/2012 0:23|Cleared by Arrest|Date: 07/05/2012 00:23||S ST & N 23RD ST|0.00|0.00|Non-student cited for MIP-C (.171 BAC) and lodged in jail for 3rd Degree Domestic Assault after she assaulted her ex-boyfriend.
12002584|TRESPASSING|7/5/2012 2:34|Cleared by Arrest|Date: 07/05/2012 02:34|Memorial Stadium|740 Stadium Dr.|0.00|0.00|Two UNL students cited/released for trespassing after they were observed inside the stadium after hours.
12002596|TRAFFIC - SUSPENDED DRIVER|7/5/2012 22:39|Cleared by Arrest|Date: 07/05/2012 22:39||N 17TH ST & VINE ST|0.00|0.00|Non-student stopped for no plates and lodged in jail for Driving Under Suspension as well as an active LPD warrant.
12002598|MEDICAL EMERGENCY|7/5/2012 23:03|Cleared by Exception|Date: 07/05/2012 23:03||2404 N 14th St. #33|0.00|0.00|Non-student transported to Bryan/LGH East after having breathing difficulties.
12002599|TRAFFIC - SUSPENDED DRIVER|7/6/2012 0:40|Cleared by Arrest|Date: 07/06/2012 00:40||N 17TH ST & VINE ST|0.00|0.00|Non-student stopped for speeding and cited/released for Driving Under Suspension.
12002601|ALCOHOL - DWI|7/6/2012 1:57|Cleared by Arrest|Date: 07/06/2012 01:57||N 10TH ST & T ST|0.00|0.00|Non-student stopped for speeding. He was taken to detox and cited for Second Offense DWI (.138 BAC).
12002602|DISTURBANCE - OTHER|7/6/2012 2:14|Inactive|:||City of Lincoln|0.00|0.00|UNL student reported a disturbance that occurred off campus.
12002600|TRAFFIC - SUSPENDED DRIVER|7/6/2012 2:15|Cleared by Arrest|Date: 07/06/2012 02:15||N 17TH ST & VINE ST|0.00|0.00|Non-student stopped for speeding and cited/released for Driving Under Suspension.
12002606|MEDICAL EMERGENCY|7/6/2012 12:12|Cleared by Exception|Date: 07/06/2012 12:12|Bob Devaney Sports Center|1600 Court St|0.00|0.00|Conference attendee suffered chest pains and trouble breathing. Transported to hospital by LFR.
12002610|DISTURBANCE - OTHER|7/6/2012 14:33|Cleared by Exception|between: 07/06/2012 14:33 and 07/06/2012 14:33|Nebraska Hall|900 North 16th St|0.00|0.00|Disagreement over the work performance of a UNL employee.
12002613|MEDICAL EMERGENCY|7/6/2012 21:15|Cleared by Exception|Date: 07/06/2012 21:15|Campus Recreation Center|841 North 14th Street|0.00|0.00|UNL student transported to Bryan/LGH West after possibly dislocating an elbow.
12002618|VANDALISM - OTHER|7/7/2012 1:51|Cleared by Arrest|Date: 07/07/2012 01:51|Andersen Hall|200 Centennial Mall North|0.00|0.00|Male observed letting air out of a vehicle tire.
12002617|ALCOHOL - DWI|7/7/2012 1:51|Cleared by Arrest|Date: 07/07/2012 01:51||N 17TH ST & VINE ST|0.00|0.00|Non-student stopped for speeding, cited for DWI (.140 BAC) and taken to detox.
12002619|MEDICAL EMERGENCY|7/7/2012 3:43|Cleared by Exception|Date: 07/07/2012 03:43|Alpha Chi Omega|716 N 16th|0.00|0.00|UNL student found passed out in a yard. She was transported to Bryan/LGH West for treatment (.217 BAC).
12002624|VANDALISM - OTHER|7/8/2012 4:57|Cleared by Arrest|Date: 07/08/2012 02:52|Sheldon Memorial Art Gallery|451 North 12th St|0.00|0.00|Vehicle driven through Sheldon Sculpture Garden, damaging a sculpture and coming to rest in the fountain.
12002627|LARCENY - MOTOR VEH. ACCESSORIES|7/8/2012 17:12|Inactive|between: 07/08/2012 15:30 and 07/08/2012 17:12||2100 State Fair Park Road|2.00|0.00|Non student reports the theft of both license plates from his vehicle.  Vehicle was parked south of the 4-h Building.
12002629|TRAFFIC - SUSPENDED DRIVER|7/8/2012 19:33|Cleared by Arrest|Date: 07/08/2012 19:33||Q ST & N 17TH ST|0.00|0.00|Traffic Stop.  Driver stopped for no plates or papers on motorcycle.  Driver cited/released for DUS/No Motorcycle License.
12002630|LARCENY - FROM BUILDING|7/8/2012 21:48|Inactive|between: 07/08/2012 20:00 and 07/08/2012 21:30|Campus Recreation Center|841 North 14th St|221.00|0.00|UNL student reports the theft of his wallet and cell phone from a locked temporary locker.
12002640|DISTURBANCE - OTHER|7/10/2012 16:09|Cleared by Exception|Date: 07/10/2012 16:09|Food Industry Complex|1625 Arbor Dr|0.00|0.00|Person contacted on East Campus skateboarding and given trespass policy letters.
12002642|FIRE (WORKING) - NO ALARM|7/10/2012 17:59|Cleared by Exception|Date: 07/10/2012 17:59||9-Mile Prairie|0.00|0.00|Fire at Nine Mile Prairie caused by lite fireworks, 1.5 acre burned.
12002650|MEDICAL EMERGENCY|7/11/2012 15:30|Cleared by Exception|Date: 07/11/2012 15:30|Innovation Campus|1800 State Fair Park Drive|0.00|0.00|Person taken to Bryan-west by LFR for possible heat related problems from the area of the 4H building on Innovation Campus.
12002660|VANDALISM - OTHER|7/12/2012 0:03|Inactive|between: 07/11/2012 00:00 and 07/12/2012 00:03|Beadle Center|1901 Vine St|0.00|0.00|Report of paper towels stuffed into a toilet in the restroom.
12002661|ALCOHOL - DWI|7/12/2012 0:31|Cleared by Arrest|Date: 07/12/2012 00:31||N 17TH ST & R ST|0.00|0.00|Traffic Stop.  Driver stopped for Speeding 36 in a 25 mph zone.  Cited/lodged for DWI(.092 BrAC)/DUS.  Cited for Speeding/Open Container.
12002664|ACCIDENTS - P.D. NOT REPORTABLE|7/12/2012 9:30|Inactive|Date: 07/12/2012 09:30||N 14TH ST & VINE ST|0.00|100.00|Report of an accident on the east side of the stadium involving a parked car.
12002670|WEAPONS – OTHER|7/12/2012 22:16|Cleared by Arrest|Date: 07/12/2012 22:16|Smith Hall|1120 North 14th St|0.00|0.00|Non-student contacted with a .45 caliber handgun in holster on University Property.  Cited/Released for Possession of a Firearm at a School.
12002673|TRAFFIC - SUSPENDED DRIVER|7/13/2012 2:29|Cleared by Arrest|Date: 07/13/2012 02:29||N 17TH ST & VINE ST|0.00|0.00|Non student contacted on a traffic stop for no plates on vehicle.  Lodged for DUS and cited for No Proof of Insurance
12002674|TRAFFIC - SUSPENDED DRIVER|7/13/2012 4:30|Cleared by Arrest|Date: 07/13/2012 04:30||ANTELOPE VALLEY PARKWAY & Q ST|0.00|0.00|Non Student contacted on traffic stop. Lodged for DUS.  Another non-student on the same stop was cited/released for Unlawful Acts (Driving)
12002677|LOST OR STOLEN ITEM|7/13/2012 11:49|Cleared by Arrest|between: 07/10/2012 10:30 and 07/10/2012 11:30|College of Business Admin.|512 North 12th St|150.00|0.00|Report of a misplaced black/white Coach wristlet wallet.
12002679|FRAUD - CREDIT CARDS/ATM/BANK CARD|7/13/2012 15:31|Inactive|between: 06/18/2012 00:00 and 06/20/2012 23:59|Food Industry Complex|1625 Arbor Dr|2400.00|0.00|UNL Online class was charged to a credit card and card holder requested a refund. Transaction was flagged as a fraudulent charge.  Investigation continues.
12002681|LITTERING|7/13/2012 21:42|Cleared by Arrest|Date: 07/13/2012 21:42|Andersen Hall|200 Centennial Mall North|0.00|0.00|UNL student cited/released for Littering by Urination.
12002685|ALCOHOL - DWI|7/14/2012 2:49|Cleared by Arrest|Date: 07/14/2012 02:49||N 17TH ST & VINE ST|0.00|0.00|Non student stopped for speeding.  Cited/released for Aggravated DUI (.179 BrAC) and Speeding.
12002684|ALCOHOL - DRUNK|7/14/2012 2:53|Cleared by Exception|Date: 07/14/2012 02:53||N 16TH ST & Q ST|0.00|0.00|Student contacted for intoxication.  Transported to Detox (.307 BrAC).
12002690|ASSAULT - DOMESTIC|7/14/2012 21:58|Cleared by Arrest|Date: 07/14/2012 21:45|Robert E. Knoll Residence Center|440 N 17th Street|0.00|150.00|Domestic assault between two non-students.  Also a vandalism and child abuse.  PR is still outstanding.
12002691|TRAFFIC - SUSPENDED DRIVER|7/14/2012 23:56|Cleared by Arrest|Date: 07/14/2012 23:56||N 10TH ST & T ST|0.00|0.00|Non student stopped for speeding.  Cited/released for DUS and Speeding.
12002695|LARCENY - SHOPLIFTING|7/15/2012 16:33|Cleared by Exception|Date: 07/15/2012 15:15|Abel Hall|880 North 17th Street|1.92|0.00|A juvenile male contacted for shoplifting two (2) liquid Nyquil capsules from The Abel/Sandoz C Store.  The PR agreed to return and pay for the stolen merchandise, no formal charges desired by RP at this time.
12002701|ALCOHOL - DWI|7/16/2012 2:27|Cleared by Arrest|Date: 07/16/2012 02:27||Q ST & N 14TH ST|0.00|0.00|Non-student stopped for driving the wrong way on a one way. Cited/detox for DWI (.105 BAC).
12002703|LARCENY - FROM BUILDING|7/16/2012 8:30|Inactive|between: 07/16/2012 06:45 and 07/16/2012 07:48|Abel Hall|880 North 17th St|105.00|0.00|Cellular telephone and room access card stolen by unknown person(s) after both items were placed near the Abel Hall northwest exterior entrance and left unattended from approximately 0645 to 0748 hours.
12002704|SS - CHECK WELFARE OF PERSON|7/16/2012 10:19|Cleared by Exception|:|||0.00|0.00|Check welfare conducted on a UNL student after she neglected to appear for a scheduled meeting and was not heard from.  Officer spoke with the student who reported she was fine and had misplaced her cellular telephone.
12002719|DISTURBANCE - OTHER|7/17/2012 9:11|Inactive|between: 06/17/2012 00:00 and 07/17/2012 12:16||1800 State Fair Park Dr|0.00|0.00|Report of inappropriate text messages sent between a 50 year old male and 16 year old female.  Both parties involved interviewed; no criminal action taken at this time.
12002715|LARCENY - STOLEN BIKE|7/17/2012 9:12|Inactive|Date: 07/16/2012 21:43|The Courtyards|733 North  17th  St.|210.00|0.00|Secured bicycle (and cable lock) stolen from the bike racks located southwest of The Courtyards.  Two unidentified male juvenile suspects developed upon Vicon review.
12002717|LOST OR STOLEN ITEM|7/17/2012 10:04|Inactive|between: 07/03/2012 07:00 and 07/17/2012 10:04|Union-City|1400 R St|0.00|0.00|UNL Student reported the loss of his passport and U.S. Visa occurring approximately two weeks ago.
12002718|DISTURBANCE - OTHER|7/17/2012 11:04|Cleared by Exception|Date: 07/17/2012 10:04|Union-City|1400 R St|0.00|0.00|Person reported to be behaving erratically near the City Union.  Party contacted, verbally warned and  transported to St. Thomas Aquinas Church where he was released.
12002272|LOST OR STOLEN ITEM|7/17/2012 14:05|Inactive|between: 06/23/2012 07:00 and 07/16/2012 08:00|College of Business Admin.|512 North 12th St|150.00|0.00|Report of lost or stolen computer from CBA.
12002724|ACCIDENTS - P.D. H&R NOT REPORTABLE|7/17/2012 16:11|Cleared by Exception|Date: 07/17/2012 16:11|College of Dentistry|3975 Potter St|0.00|0.00|Hit and run accident near Dental College, no damages sustained.  PR contacted and interviewed.  No criminal action taken at this time.
12002730|TRESPASSING|7/17/2012 23:01|Cleared by Exception|Date: 07/17/2012 23:01||4417 Fair Street|0.00|0.00|Seven transients contacted for camping on east campus. All were issued Trespass Policy Letters and ordered to vacate the area.
12002732|LARCENY - FROM COIN OPERATED MACH.|7/18/2012 8:02|Inactive|between: 07/17/2012 08:00 and 07/18/2012 08:00|Harper Hall|1150 North 14th St|3.00|25.00|Report of a theft of money from a feminine product machine.
12002754|MEDICAL EMERGENCY|7/18/2012 15:15|Cleared by Exception|Date: 07/18/2012 15:15|Alexander Building|1410 Q St|0.00|0.00|UNL staff member experiencing vision problems, feeling faint and dizzy.  Transported to St. Elizabeth's for further treatment and evaluation.
12002739|LARCENY - STOLEN BIKE|7/18/2012 21:52|Inactive|between: 07/18/2012 17:30 and 07/18/2012 21:50|College of Business Admin.|512 North 12th St|100.00|5.00|UNL student reported his bike stolen from the racks on the north side.
12002740|MEDICAL EMERGENCY|7/18/2012 23:15|Cleared by Exception|Date: 07/18/2012 23:15|Burnett Hall|1220 T St|0.00|0.00|Non-student transported to Bryan/LGH West after hyperventilating.
12002745|UNL POLICY VIOLATION -OTHER|7/19/2012 13:50|Cleared by Exception|:|Nebraska Hall|900 North 16th St|0.00|0.00|Report of a UNL owned computer with pornographic materials on hard drive.
12002747|MEDICAL EMERGENCY|7/19/2012 18:45|Cleared by Exception|Date: 07/19/2012 18:45|Lied Center|301 North 12th St|0.00|0.00|Report of a juvenile female having an asthma attack.  Transported to Bryan LGH West for further treatment and evaluation.
12002748|SUSPICIOUS PERSON|7/19/2012 23:14|Cleared by Arrest|Date: 07/19/2012 23:14|Andersen Hall|200 Centennial Mall North|0.00|0.00|Non student contacted during suspicious party call. Lodged for warrant and cited for Trespassing and False Information.
12002752|ALCOHOL - UNL POLICY VIOLATION|7/20/2012 9:20|Inactive|Date: 07/19/2012 08:45|H.S.S. Food Service Bldg.|1140 North 14th St.|0.00|0.00|Anonymous tip of alcohol being stored and consumed in an office. Tip is unsubstantiated at this time.
12002753|ALCOHOL - BUY/PROCURE FOR MINORS|7/20/2012 9:46|Inactive|between: 05/29/2012 08:00 and 06/17/2012 23:59|||0.00|0.00|Report of possible underage drinking at a UNL sponsored academic activity. Investigation ongoing.
12002755|MEDICAL EMERGENCY|7/20/2012 13:41|Cleared by Exception|Date: 07/20/2012 13:41|2224 U Street|2224 U Street|0.00|0.00|Five month old child having difficulty breathing.  Apparent negative reaction to medication, non life threatening.  Transported to Bryan LGH East for further evaluation.
12002759|ALCOHOL - DRUNK|7/21/2012 1:34|Cleared by Exception|Date: 07/21/2012 01:34||N 14TH ST & Salt Creek RDWY|0.00|0.00|Student contacted for intoxication.  Transported to Detox (.235 BrAC).
12002762|ALCOHOL - DWI|7/21/2012 2:33|Cleared by Arrest|Date: 07/21/2012 02:33||N 10TH ST & T ST|0.00|0.00|Non student stopped for speeding. Cited/released for DUI (.124 BrAC), False Info, MIPC and Speeding.
12002761|FIRE - FALSE ALARM|7/21/2012 3:08|Inactive|Date: 07/21/2012 03:08|Selleck Quad|600 North 15th St|0.00|0.00|Fire alarm pull station activated. No suspects.
12002765|TRAFFIC - OTHER|7/21/2012 18:42|Cleared by Arrest|Date: 07/21/2012 18:42||Y ST & N 19TH ST|0.00|0.00|Traffic Stop.  Driver stopped for speeding 34 mph in a 25 mph zone.  Non student cited/released for Speeding/Fictitious Plates/No Valid Registration/No License on Person.
12002767|TRAFFIC - SUSPENDED DRIVER|7/21/2012 23:05|Cleared by Arrest|Date: 07/21/2012 23:05||N 17TH ST & VINE ST|0.00|0.00|Non student stopped for a taillight violation.  Cited/released for DUS and Non-Working Taillight.
12002769|SUSPICIOUS PERSON|7/22/2012 0:33|Cleared by Exception|Date: 07/22/2012 00:33||1345 R St.|0.00|0.00|Juvenile contacted on a suspicious party call.  Juvenile was referred for Failure to Comply.
12002771|MEDICAL EMERGENCY|7/22/2012 0:33|Cleared by Exception|Date: 07/22/2012 00:33||N 14TH ST & R ST|0.00|240.00|Ofc. fell while running after a PR.  Ofc refused all medical.
12002768|ALCOHOL - DRUNK|7/22/2012 1:04|Cleared by Exception|Date: 07/22/2012 01:04||N 16TH ST & VINE ST|0.00|0.00|Student contacted for intoxication.  Transported to Detox (.199 BrAC).
12002770|ALCOHOL - MINOR IN POSSESSION|7/22/2012 1:47|Cleared by Arrest|Date: 07/22/2012 01:47|Selleck Quad|600 North 15th St|0.00|0.00|Student contacted reference an alcohol violation.  Cited/released for MIP.
12002776|ALCOHOL - MINOR IN POSSESSION|7/23/2012 2:16|Cleared by Arrest|Date: 07/23/2012 02:16|Alpha Tau Omega|1433 R St.|0.00|0.00|5 students contacted on a suspicious parties call.  One Cited/Released for MIPC (.111 BrAC), One Cited/Detox for MIPC and Fail To Comply (.149 BrAC) and One Cited/Detox for MIPC, Fail to Compy and False Statements (.154 BrAC).
12002779|MEDICAL EMERGENCY|7/23/2012 9:05|Cleared by Exception|Date: 07/23/2012 09:05|Union-City|1400 R St|0.00|0.00|Ofc. dispatched to the UNL City Union regarding an UNL employee who was feeling faint.  This person was transported to the hospital for further treatment.
12002780|TELEPHONE - THREATENING CALLS|7/23/2012 9:32|Cleared by Exception|between: 07/22/2012 15:36 and 07/23/2012 09:17||1100 N. 17th St|0.00|0.00|Ofc. was dispatched to Printing Services on an employee receiving unwanted phone calls.
12002782|SS - CHECK WELFARE OF PERSON|7/23/2012 10:49|Cleared by Exception|between: 07/20/2012 17:00 and 07/23/2012 10:49||146 E Street|0.00|0.00|UNL Building Systems Maintenance Manager called UNLPD concerned for the welfare of an employee.  Employee was found in the care of Detox staff.
12002783|SUSPICIOUS ITEM OR PACKAGE (NON-EXPLOSIVE)|7/23/2012 10:51|Cleared by Exception|Date: 07/23/2012 10:51|Miller Hall|1675 Arbor Dr|0.00|0.00|Ofc. dispatched to Miller Hall in reference to a suspicious letter.
12002786|DISTURBANCE - OTHER|7/23/2012 17:06|Cleared by Exception|Date: 07/23/2012 17:06|Love Library South|1248 R|0.00|0.00|Male subject contacted after being observed to be viewing pornography on UNL computer.  Party Banned and released.
12002791|LARCENY - FROM BUILDING|7/24/2012 12:20|Inactive|between: 07/13/2012 11:00 and 07/13/2012 13:30|Campus Recreation Center|841 North 14th St|800.00|0.00|Belated report of a wedding ring stolen from within an unlocked office.
12002793|LARCENY - STOLEN BIKE|7/24/2012 16:10|Cleared by Exception|between: 07/24/2012 15:30 and 07/24/2012 15:35|Whittier Building|2200 Vine St|400.00|0.00|A male juvenile was observed attempting to steal a bicycle from the area southeast of Whittier.  The suspect was positively identified, unable to be located at this time.
12002798|FRAUD - CREDIT CARDS/ATM/BANK CARD|7/25/2012 10:06|Inactive|between: 04/04/2012 17:00 and 05/02/2012 17:00|Canfield Administration Building|503 N 14th|0.00|0.00|Person made fraudulent charges on credit cards during the admissions process to UNL.
12002799|BURGLARY|7/25/2012 10:16|Inactive|between: 07/24/2012 09:59 and 07/25/2012 09:31|Innovation Campus|1800 State Fair Park Drive|100.00|220.00|Ofc. was conducting a security check of Innovation Campus when he observed an open door on the Industrial Arts Building.  It was determined copper wire had been stolen from the building.
12002801|LARCENY - OTHER OR FROM OPEN AREA|7/25/2012 12:33|Inactive|between: 07/22/2012 09:30 and 07/22/2012 11:00|Farm House Fraternity|3601 Apple|790.00|0.00|Red duffel bag and contents stolen after being mislaid by the street.
12002805|ALCOHOL - DRUNK|7/26/2012 2:37|Cleared by Exception|:||1601 Q St (Egg & I)|0.00|0.00|Two students contacted for intoxication.  Transported to Detox. (.183 BrAC and .168 BrAC)
12002811|LARCENY - FROM BUILDING|7/26/2012 11:46|Inactive|between: 07/25/2012 08:00 and 07/26/2012 10:30|Delta Tau Delta|715 North 16th St.|500.00|0.00|Construction contractor reported a blue Miller welder was stolen from the fraternity,
12002816|TRAFFIC - SUSPENDED DRIVER|7/27/2012 3:18|Cleared by Arrest|Date: 07/27/2012 03:18||N 17TH ST & R ST|0.00|0.00|Non student contacted on a traffic stop.  CIted/Released for DUS and Fictitious Plates.
12002817|LOST OR STOLEN ITEM|7/27/2012 4:43|Cleared by Exception|Date: 07/27/2012 04:13||N 17TH ST & Q ST|20.00|0.00|Items missing after being left on top of a vehicle.
12002818|LARCENY - OTHER OR FROM OPEN AREA|7/27/2012 9:08|Inactive|between: 07/26/2012 16:00 and 07/27/2012 08:00|Stewart Seed Lab|3775 Leighton Ave|1200.00|0.00|Portable A/C unit, projector, and accessories stolen from a locked trailer.
12002820|SS - CHECK WELFARE OF PERSON|7/27/2012 10:28|Inactive|Date: 07/23/2012 13:26||1130 H Street|0.00|0.00|Check welfare on a student who missed class.
12002821|TRAFFIC - SUSPENDED DRIVER|7/27/2012 18:41|Cleared by Arrest|Date: 07/27/2012 18:41||STATE FAIR PARK DR & KIMCO DR|0.00|0.00|Traffic Stop.  Vehicle stopped for expired In-transits.  Non student cited/released for DUS/No Proof of Insurance/Expired In-Transit Decal.  Vehicle towed to Capital Towing.
12002822|ALCOHOL - MINOR IN POSSESSION|7/28/2012 0:42|Cleared by Arrest|Date: 07/28/2012 00:42||N 17TH ST & VINE ST|0.00|0.00|3 non-students contacted on a traffic stop.  One cite/released for MIP and Possession of Drug Paraphernalia.  Another cited/released for MIP, Possession of Drug Paraphernalia and Speeding.  The last was cited/released for CCW, MIP and Possession of Drug Paraphernalia.
12002823|VANDALISM - OTHER|7/28/2012 10:28|Inactive|between: 07/27/2012 23:00 and 07/28/2012 10:28|Pound Hall|513 North 17th St|0.00|150.00|Vehicle window broken and rummaged through. No items discovered missing.
12002824|LARCENY - FROM MOTOR VEHICLE|7/28/2012 10:28|Inactive|between: 07/27/2012 23:00 and 07/28/2012 10:28|Pound Hall|513 North 17th St|50.00|150.00|Window broken on a vehicle and cell phone stolen from within.
12002826|FIRE - FALSE ALARM|7/28/2012 16:54|Cleared by Exception|Date: 07/28/2012 16:54|2222 Vine Street|2222 Vine Street|0.00|0.00|Audible fire alarm from a residence apartment.  LFR personnel advised no one was answering the door.  Entry into the apartment was gained.  No one inside of apartment.  UNL maintenance advised of faulty detector.
12002830|TRAFFIC - SUSPENDED DRIVER|7/29/2012 3:15|Cleared by Arrest|Date: 07/29/2012 03:15||N 17TH ST & R ST|0.00|0.00|2 non-students contacted on a traffic stop.  Driver cited/lodged for DUS, also lodged for 2 outstanding warrants.  Passenger, who was released, gave false information due to outstanding warrants.  Broadcast initiated.
12002831|ALCOHOL - DRUNK|7/29/2012 3:44|Cleared by Exception|Date: 07/29/2012 03:44||N 16TH ST & R ST|0.00|0.00|Student contacted for intoxication.  Transported to Detox (.230 BrAC).
12002834|DISTURBANCE - DOMESTIC|7/29/2012 12:49|Inactive|Date: 07/29/2012 11:55|2224 U Street|2224 U St.|0.00|0.00|Disturbance at 2224 Y street disagreement between two persons.
12002835|LARCENY - STOLEN BIKE|7/29/2012 15:24|Cleared by Arrest|between: 07/29/2012 14:34 and 07/29/2012 15:20|Neihardt Residence Center|540 North 16th St|0.00|0.00|Bike taken from racks by Neihardt Hall, $400 loss.
12002841|TRAFFIC - SUSPENDED DRIVER|7/30/2012 1:49|Cleared by Arrest|Date: 07/30/2012 01:49||N 17TH ST & VINE ST|0.00|0.00|Non-student stopped for speeding and cited/released for Driving Under Suspension.
12002843|FRAUD - CREDIT CARDS/ATM/BANK CARD|7/30/2012 13:15|Cleared by Exception|:|||0.00|0.00|Unknown person used  victims credit to buy airline tickets, $600 loss.
12002844|FRAUD - CON GAMES/DECEPTION/FALSE    PRETENSE/OTHER|7/30/2012 15:32|Inactive|Date: 06/29/2012 11:00|Union-City|1400 R Street|260.00|0.00|Person scammed out of $260 at the City Union.
12002848|ALCOHOL - DRUNK|7/31/2012 3:30|Cleared by Exception|Date: 07/31/2012 03:30||N 16TH ST & W ST|0.00|0.00|Non-student contacted and taken to detox (.216 BAC).
12002849|VANDALISM - OTHER|7/31/2012 7:06|Inactive|between: 07/30/2012 18:50 and 07/31/2012 07:06|515 N 19th Parking Lot Vine to|515 North 19th St.|0.00|150.00|Front window shattered on a vehicle. Unable to determine at time of report if items were taken from inside.
12002851|VANDALISM - OTHER|7/31/2012 9:45|Inactive|between: 07/30/2012 21:30 and 07/31/2012 09:45|515 N 19th Parking Lot Vine to|515 North 19th St.|0.00|150.00|Front window shattered and vehicle rummaged through. Owner reported no items were missing from the vehicle.
12002852|DISTURBANCE - OTHER|7/31/2012 12:43|Cleared by Exception|Date: 07/31/2012 12:43|Union-City|1400 R St|0.00|0.00|Non-UNL affiliated person has made repeated attempts to obtain a UNL N-Card.
12002863|ALCOHOL - DWI|8/1/2012 2:08|Cleared by Arrest|Date: 08/01/2012 02:08||N 10TH ST & Q ST|0.00|0.00|Non-student stopped for crossing lane lines and found to be intoxicated. Cited/taken to Detox for DUI &gt; .150, MIP-C, & Careless Driving. .164 BAC.
12002868|ALCOHOL - DRUNK|8/2/2012 2:19|Cleared by Exception|Date: 08/02/2012 02:19|Phi Kappa Psi|1548 S Street|0.00|0.00|UNL student contacted and taken to detox (.235 BAC).
12002871|ALCOHOL - DRUNK|8/2/2012 8:55|Cleared by Exception|Date: 08/02/2012 08:55|University Lutheran Chapel|1510 Q St.|0.00|0.00|Non-student was consuming alcohol. Party was found to be intoxicated and unable to care for self. Transported to Detox.
12002875|TELEPHONE - OTHER|8/2/2012 14:09|Cleared by Exception|between: 08/02/2012 14:00 and 08/02/2012 14:09|H.C. Filley Hall|1625 Arbor Dr|0.00|0.00|Person in Filley Hall received unwanted phone call.
12002876|LARCENY - STOLEN BIKE|8/2/2012 14:27|Inactive|between: 08/01/2012 06:00 and 08/01/2012 12:00|Landscape Services|1340 North 17th St|150.00|0.00|Bike taken from the rakes by the Landscape Services building, $150 loss.
12002883|ALCOHOL - DRUNK|8/3/2012 2:09|Cleared by Exception|between: 08/03/2012 02:09 and 08/03/2012 02:09|Andersen Hall|200 Centennial Mall North|0.00|0.00|Non-student contacted and taken to detox (refused a PBT).
12002884|UNL POLICY VIOLATION - WEAPONS|8/3/2012 9:43|Inactive|between: 08/29/2011 08:00 and 05/04/2012 17:00|The Courtyards|733 North  17th  St.|0.00|0.00|Belated roommate dispute during 2011-2012 academic year.
12002891|MEDICAL EMERGENCY|8/4/2012 12:18|Cleared by Exception|Date: 08/04/2012 12:18||3320 Starr St Apt #1|0.00|0.00|Report of an eleven month old having a seizure.  Transported to St. Elizabeth's Hospital for further observations.  Non-life threatening.
